pos
VA ETM 
VV ETM NNP VCP ETN 
MAG NNG 
VV ETN MAG JKS 
MAG NNB 
VV EC VX ETM 
XPN NNP MM 
VV ETM NNP 
VV ETM NNP 
VV ETN VV ETM 
EC VX EC NNG 
VV VV VV ETM NNP 
VV ETM NNP 
VX EP EC 
MAG MAG 
VV ETM NNB 
VV ETN NNB NNP 
VV ETM NNB 
MAG VV EP EC 
XPN NNP 
VA ETM NNP 
VV EC VX ETN 
EC NNG 
MAG VV ETM 
VV ETM NNP 
VV ETM NNP 
VV ETM NNB 
VV ETM NNP 
VV EC 
VV EP NNG 
VV ETM NNP 
VV EC 
XR 
XR 
VV EC VCP EC 
MM NNG VV EC 
MAG NNG 
VX EC VV EC 
VV EC JX 
VV ETM NNG 
XPN NNP 
VV ETN VCP EC 
MM NNP 
VV ETN NNG 
IC IC 
VV ETM NNG NNP 
VV ETM NNP NNG 
VA EC JX EC NP 
VA EC VV ETM NNP 
VV ETM NNG 
MAG MAG NNG 
MAG JKO NNG 
XR 
XR 
VV ETM NNP 
XPN NNG 
VV 
VV EC 
VV EP EC 
VV EC VX EC 
VV VV EC 
VA ETM NNP 
VV EC NNB XSN 
XPN NNP NNP 
MM NNP 
VV EP NNG NNP 
VV EC VX EP 
VV EC 
MAG VV EC 
VV VV VV ETM NNP 
IC VCP EC VV ETM 
VV ETM NNP 
VV EP EC 
VA EC EC 
MAG MAG 
VV ETN NNG 
XPN NNP NNP 
VV EC VV ETN 
VV ETM NNP JC 
VV ETM NNB 
XPN NNP 
VV EC NNG NNG 
XPN NNP 
MAG MAJ 
VV EC VX EC 
VV EC JX NNG JKO 
VV ETM NNP 
VV ETM NNP 
VV 
VV EC VX ETM 
MAG NNG 
XR 
MAG JKO VV 
VX EC JX JX 
MM NNG 
EC JKB 
VV VV EC JKO 
VV 
VV 
VX EC VV EP ETM 
EC EC 
XPN NNP 
VV EC 
VV ETM NNP JX 
VV EC VV 
VV EC 
MM NNG NNG VV 
XPN NNP NNP NNB 
XR 
VV ETM NNP 
XR 
XPN NNG XSV EC 
EC VCP ETN XSN 
MAG NNG 
IC IC IC IC 
MAG NNG 
XR 
VV ETM NNB NNP 
VV ETM NNB 
XR 
MM NNP 
XR 
VV EC JKO NNG 
VV EC JX EC NP 
XR 
VV EC 
VV ETM 
EC NNG NNG NNG 
VV EP 
VV ETN NNG XSN 
MM NNP NNG 
VV 
XPN NNP 
VV EC NNG NNP 
VV ETM NNG 
VV ETM NNP 
VV VV EC 
VV ETN XSV ETM 
VV EC MAG NR 
VV ETM NNG JKO 
XPN NNP NNP 
VV ETN VV EC JX 
VV EP 
VV EC VX EC 
VV EC JX 
VV EP EC 
VV ETM NNP NNG 
MAG VV ETM 
VV ETM NNB VCP ETN 
MAG VV EP EC 
VV ETM EC VV EP EC 
MAG JKO NNG 
VV EP EC 
VV ETM NNP 
VV EC VX EC 
MAG VV EC 
VV ETM NNG JKS 
VV EC NNB 
VV EC VX ETM NNB 
XR 
VV ETM NNP NNB 
VV EC NNB 
XR 
XR NNG NNG 
MAG JX MAG JX 
VV EC VV 
VX ETM NNP NNP 
VV ETM NNB VCP ETM 
MM NNP NNB NNG NNG 
XR 
VV EC NNG NNB 
MAG XSV EC 
XR 
EP EF ETM NNP 
MM NNP NNG 
VV EC 
VV EC NNG 
MAG NR 
MM NNB 
VA EC NNG XSN 
VV 
VX EC VV EC 
MAG VV EP ETM 
VA EC JKO VV EC 
XR 
VV ETM NNP JKB 
VV ETM NNP NNG 
XR 
VV ETM EC VV EP EC 
VV ETM NNP NNB 
VV EC VV ETN 
EC JKO VV ETM 
VV ETM NNP 
VA EC VX EP 
VV EC VV EC 
VV ETM NNB 
XR 
XR 
MAG VV ETN 
VV EC VCP ETN 
XPN NNG NNP 
VV EC VV ETN 
MAG JKB 
MAG VCP ETM 
MM NNP NNB JX 
MAG MAG 
VV VV EC VV 
XPN NNP NNP 
VA EC NNG JKO 
VV EC JX MAG 
VV ETM NNB NNP 
XR 
MAG NNG MAG NNG 
VA EP EC 
VV EC JX 
MAG MAG 
VA EP 
VV ETM NNG 
VV ETM NNP 
XR NNG NNP 
XR NNG 
IC VV VV EC 
VV ETM NNB XSN 
VV VV 
VV EP EC 
XR 
VX ETN MAG VV 
VV 
VX ETM NNP 
VV EP NNG 
VV VV EC 
MAG NNG 
XPN NNG 
VV 
VV EC 
VV ETN NNG NNP 
VV EC VX EP 
VV EC NNB 
MM NNP NNP 
NNP NNG 
NNG NNP VV EC 
NNP 
NNP NNG 
NNG NNP 
NNP 
NNG NNG NNG NNG 
NNG MAG 
NNG NNG NNG 
NNP NNP 
NNP 
NNG 
NNP 
NNP 
NNG NNG 
NNG NNG 
NNP 
NNP 
NNP 
NNG NNP NNP 
NNP XPN NNP JKO 
NNG NNG XSN 
NNP NNP 
NNP 
NNP NNB 
NNP NNP 
NNG NNG NNG 
NNG NNG 
NNP 
NNP 
NNP NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNP NNG 
NNG VV ETN 
NNG XSV EC VV 
NNG 
NNP 
NNG NNB 
NNB NNP 
NNP NNG 
NNG NNG 
NNP 
NNG NNP NNP 
NNP 
NNG NNP 
NNG VV 
NNG NNP 
NNP 
NNP NNP 
NNP NNP 
NNG NNG 
NNP 
NNG NNG 
NNP 
NNP 
NNG XPN NNG 
NNG NNG 
NNP 
NNP NNP 
NNG 
NNG NNP 
NNP NNG 
NNG NNP NNB 
NNP NNB NNB 
NNP 
NNP NNP 
NNP 
NNG NNG 
NNP 
NNP NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNP NNP 
NNG 
NNG XSN 
NNP 
NNP NNG 
NNP NNB 
NNG NNG 
NNG 
NNP NNG NNB JX 
NNP 
NNP 
NNP 
NNP 
NNP NNB 
NNP 
NNP 
NNP 
NNP XSN VCP ETN 
NNG NNG EC EC 
NNP NNP NNG VV EC 
NNP NNG 
NNP NNP 
NNG NNP 
NNP NNG NNG 
NNP 
NNG NNG 
NNP 
NNG NNG 
NNP 
NNP 
NNG VCP ETM NNP 
NNP 
NNG XSV ETN JX 
NNG NNB 
NNG MAG 
NNP NNG 
NNG NNP 
NNB NNP 
NNP 
NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNG 
NNP 
NNP NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNG XSN 
NNP NNP 
NNP XSN 
NNG 
NNG NNG 
NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNP NNG 
NNP 
NNP 
NNP 
NNG NNG XSN 
NNP 
NNG 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNG VV ETM NNP 
NNG NNG 
NNP 
NNP NNG 
NNP 
NNP 
NNG VV EC 
NNG NNG 
NNP NNP JKO 
NNP 
NNP 
NNP 
NNP 
NNG NNP MAG 
NNP 
NNP XPN NNG 
NNP 
NNP 
NNP 
NNP 
NNP JKS 
NNP 
NNG NNG NP JX VV 
NNP 
NNP NNG 
NNG NNG NNP 
NNP NNB NNP 
NNP 
NNG NNG 
NNB JX EC NNG 
NNG NNP 
NNP 
NNP 
NNP NNG 
NNG JC NNP NNG 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNG NNP 
NNP 
NNG VV ETM NNB 
NNP 
NNP NNB 
NNG NNP NNP 
NNP 
NNP NNP NNG 
NNG NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNG NNG 
NNG VA EF ETM NNG 
NNP NNG VCP ETM 
NNG NNG NNG VV 
NNG NNP 
NNP NNP 
NNG NNG 
NNP NNP 
NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP NNG NNP NNP 
NNP 
NNP NNP MAG 
NNG NNP 
NNP 
NNP 
NNG 
NNB XSA ETN JX VV EC VV 
NNG NNG XSN 
NNP 
NNP 
NNP NNP 
NNP 
NNP NNG NNP 
NNP 
NNP VV EC NP VV EC 
NNP NNP 
NNG NNP 
NNP 
NNP 
NNP 
NNP 
NNP 
NNP NNG 
NNP 
NNP NNP 
NNG NNG 
NNG 
NNP 
NNP 
NNP NNG 
NNP VA ETM 
NNP NNP 
NNG NNP NNP NNP 
NNP 
NNG NNP 
NNP 
NNP 
NNP NNP 
NNG XSN 
NNP 
NNP 
NP NNG 
NNG NNG 
NNP NNG 
NNG NNP 
NNG NNG 
NNP 
NNG 
NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNG NNP NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNG NNP 
NNB NNP NNG 
NNP 
NNP 
NNP NNP NNP 
NNG NNG 
NNP 
NNG 
NNP 
NNP 
NNP 
NNG NNP 
NNG NNB 
NNP NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNP NNP 
NNG EC 
NNP 
NNG NNP 
NNP NNG VV 
NNP NNG 
NNG NNG 
NNG 
NNP 
NNG 
NNP NNB NNP 
NNP XSN 
NNG NNG 
NNG XSN NNG 
NNP 
NNG NNP 
NNP NNP 
NNG 
NNP 
NNP 
NNG NNG 
NNG NNP 
NNP 
NNG VV ETN 
NNP 
NNP 
NNP NNG 
NNP NNP 
NNG VV EC 
NNG EC NNG NNG 
NNG NNG 
NNP 
NNP 
NNP 
NNP 
NNG NNG NNP 
NNG NNG 
NNB NNP 
NNG 
NNP 
NNP 
NNP 
NNP 
NNG NNP 
NNG MAG NNG MAJ 
NNP 
NNP NNP 
NNP 
NNG XSN 
NNG VV ETM 
NNP 
NNP 
NNP 
NNP 
NNG NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNP NNP 
NNP NNG NNP 
NNP XSN 
NNG NNG VV ETN 
NNG NNP 
NNG NNG VV EC 
NNP NNP 
NNP 
NNG VV 
NNG NNG NNP 
NNG NNP NNB 
NNG NNG 
NNP NNP 
NNG NNP 
NNP NNG 
NNG NNG 
NNP 
NNP NNP 
NNG 
NNB NNP NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNP NNG 
NNG NNG 
NNG 
NNP 
NNG 
NNP 
NNB NNP 
NNP 
NNP 
NNP NNG 
NNG NNG 
NNG NNB 
NNG NNG NNG 
NNG NNG 
NNP 
NNP 
NNP NNP 
NNP NNP 
NNP 
NNP 
NNP NNB VCP EC VV EC 
NNP NNP NNG 
NNG NNG 
NNP 
NNG NNP 
NNG XSV EC 
NNP NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP NNG 
NNP NNG 
NNP NNP 
NNG NNP VCP ETN 
NNP 
NNP 
NNP 
NNP NNB NNP 
NNP 
NNP 
NNP NNP 
NNP 
NNP 
NNG MAG 
NNP NNP 
NNP NNP 
NNG XSN VV 
NNG JC NNP 
NNG NNG NNP 
NNP VV 
NNP 
NNP NNG 
NNG XSN 
NNP 
NNP 
NP NNG 
NNP 
NNP 
NNG 
NNP 
NNP 
NNP NNP 
NNP NNG NNG 
NNP 
NNP NNP 
NNP 
NNP 
NNP 
NNG NNG 
NNP 
NNP 
NNP 
NNG NNG 
NR NNP 
NNG XSN 
NNP NNG 
NNP 
NNP 
NNG NNG 
NNP 
